Complexity|MSE|Equation
1|0.9557667|-1.1299499
2|0.797064|log_abs(x0)
3|0.098750085|(x16 - 1.1907004)
5|0.09078581|((x16 - 1.2991275) * 0.91244566)
6|0.08485298|(x16 - pow(sqrt_abs(1.0055281), x6))
7|0.08089156|((x16 / pow(1.0485761, x33)) - 1.1540887)
9|0.08024833|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(exp(x2) + 2.5462987))))
10|0.061407696|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(exp(sqrt_abs(pow(x0, x30)))))))
11|0.058838133|(x16 - sqrt_abs(sqrt_abs(exp(sqrt_abs(pow(x0, x30) * 0.21116963)))))
12|0.053147614|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(exp(sqrt_abs(pow(x0, x30)))) + x33)))
13|0.04454651|(x16 - pow(sqrt_abs(exp(sqrt_abs(pow(x0, x30))) + exp(x2)), 0.22499767))
15|0.043967612|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(exp(sqrt_abs(pow(x0, x30) - 1.5901473)) + exp(x2)))))
16|0.040802494|(x16 - sqrt_abs(pow(sqrt_abs(exp(sqrt_abs(pow(x0, x30) - x26)) + exp(x2)), 0.44557586)))
17|0.038293503|(x16 - sqrt_abs(sqrt_abs(sqrt_abs((exp(sqrt_abs(pow(x0, x30) - 1.5151476)) - x10) + exp(x2)))))
18|0.036311664|(x16 - sqrt_abs(pow(sqrt_abs(exp(sqrt_abs(pow(x0, x30) - x26)) + (exp(x2) - x10)), 0.4551504)))
19|0.03612528|(x16 - sqrt_abs(sqrt_abs(sqrt_abs((exp(sqrt_abs((pow(x0, x30) - x26) / -1.229419)) - x10) + exp(x2)))))
20|0.035553645|(x16 - sqrt_abs(sqrt_abs(sqrt_abs((exp(sqrt_abs(pow(x0, x30)) - exp(x21)) - x10) + (exp(x2) - -1.2390227)))))
21|0.033608355|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((exp(sqrt_abs(pow(x0, x30)) + -1.6467234) + (exp(x2) + 2.127185)) - x10) - x26))))
22|0.033295006|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((exp(sqrt_abs(pow(x0, x30)) + -1.6467234) + (pow(2.6413276, x4) + 2.127185)) - x10) - x26))))
23|0.032314897|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((exp(sqrt_abs(((pow(x0, x30) - x26) - 0.0934703) / -1.2427648)) - x0) - x10) + exp(x2)))))
25|0.031742148|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((exp((sqrt_abs(pow(x0, x30)) - sqrt_abs(x1)) + -0.7379947) + (pow(-2.6565657, x2) + 2.1277583)) - x10) - x26))))
