Complexity|MSE|Equation
1|0.9622329|-1.1829902
2|0.725719|log_abs(x0)
3|0.073394656|(x16 + -1.2078828)
5|0.050928503|(x31 - pow(1.0030272, x6))
6|0.043946676|(x16 - pow(sqrt_abs(-1.0060636), x6))
7|0.03999575|((x16 * pow(0.95352787, x2)) - 1.1567825)
9|0.037272878|((x16 / pow(pow(x33, 0.040975474), x16)) + -1.197643)
11|0.033715602|((x16 / pow(pow(x33 + 0.10456037, 0.036135405), x16)) + -1.2061912)
14|0.033646896|((x16 / pow(pow(x33 + log10_abs(x22 * -1.2003908), 0.04032267), x16)) + -1.2003908)
15|0.03290417|((x31 + -1.1627634) - ((((x13 * x2) - x25) + (x19 - x10)) * 0.04149451))
17|0.031540085|((x31 + -1.1627634) - ((((x14 * x2) + (x11 - (x10 - x5))) - x25) * 0.035346594))
19|0.030794688|((x31 + -1.1640391) - ((((x14 * x2) + (x11 - (x25 - x19))) + (x5 - x10)) * 0.034054928))
21|0.030350644|((x31 - (((x14 * x2) + ((((x11 - x25) - x10) + x5) + (x19 + x7))) * 0.0343996)) - 1.162399)
22|0.0302615|((x31 + -1.1486012) - ((((x14 * x2) + (x11 - (x25 - x19))) + ((x5 - x10) - log10_abs(x2))) * 0.035251103))
23|0.030065536|((x31 - (((x14 * x2) + (((((x11 - x25) - x10) + x5) - x24) + (x19 + x7))) * 0.0343996)) - 1.162399)
24|0.029962463|((x31 - ((((x14 * x2) + (x11 - ((x26 - x19) + x10))) + ((x5 + x7) - log10_abs(x7))) * 0.034790374)) - 1.0932004)
