Complexity|MSE|Equation
1|0.31670418|-3.7856295
3|0.28191778|(x4 + -3.7955015)
4|0.17298101|(sqrt_abs(x4) + -4.486719)
5|0.052914623|((x4 * 0.51766944) + -3.790742)
6|0.04979482|(exp(x16 * 0.33135274) + -4.859773)
8|0.046397306|(((x16 * sqrt_abs(x12)) * 0.36686343) + -3.8547263)
9|0.046236962|((x16 * log10_abs(sqrt_abs(x13 / 0.15880299))) + -3.8539696)
10|0.04290658|(((x16 * sqrt_abs(x16 + 1.3431877)) * 0.31606445) + -3.9168448)
13|0.04092561|((x16 * sqrt_abs(log10_abs((x12 - -1.5852681) * x16) * 0.39081538)) + -3.8756206)
16|0.04083442|((x16 * sqrt_abs(log10_abs(sqrt_abs(x9 - ((x12 - -1.5762297) * x16))) * 0.78343123)) + -3.877125)
18|0.040674362|((x16 * sqrt_abs(log10_abs(sqrt_abs((x9 * x9) - ((x12 - -1.5713488) * x16))) * -0.78379077)) + -3.877125)
19|0.04026487|(-2.8516984 / exp((1.9722854 - (sqrt_abs(pow(pow(-0.057477582, x26) - x33, -0.16132773) * x15) * x4)) * -0.14877903))
20|0.039997004|((x16 * sqrt_abs(log10_abs(sqrt_abs(log10_abs(sqrt_abs(x5 + 1.5078992)) - ((x15 - -1.5713488) * x16))) * -0.78379077)) + -3.877163)
22|0.039003707|(-3.1590471 / exp((1.4845024 - (sqrt_abs(sqrt_abs((x16 + x5) * (x21 - (-0.43736815 - (x31 + 0.9887861))))) * x4)) * -0.12712884))
24|0.038580343|(-3.1808147 / exp((1.4930636 - (sqrt_abs(sqrt_abs(x32 * (x21 - (-0.58880705 - (x16 + pow(x31 - -1.5366458, x10)))))) * x4)) * -0.12371802))
25|0.038459852|(-3.1808147 / exp((1.4930636 - (sqrt_abs(sqrt_abs(x32 * (x21 - (log10_abs(x0) - (x16 + pow(x31 - -1.4960347, x10)))))) * x4)) * -0.12371802))
