Complexity|MSE|Equation
1|0.86460805|-1.1997099
2|0.71756387|log_abs(x0)
3|0.055401046|(x16 - 1.1932452)
5|0.04762676|((x16 * 0.91112083) + -1.1938206)
7|0.040374223|((x16 - pow(1.1048754, x2)) + -0.18886128)
8|0.039726555|(x16 - pow(exp(x2) + 2.9046147, 0.119091496))
10|0.036789957|(x16 - pow(exp(x2) + (2.9345264 - x10), 0.120838016))
12|0.03668914|(x16 - pow(((exp(x2) - x21) + 3.2409818) - x10, 0.119052894))
13|0.03579762|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((3.3937347 - x26) + exp(x4)) - x10))))
15|0.03579017|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((3.3937347 - x26) + (exp(x4) + x7)) - x10))))
16|0.035473708|(x16 - pow(((((exp(x2) + 2.9058478) - x26) + -0.18754627) - x10) + 0.84413534, 0.116333485))
24|0.035079427|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(exp(pow((exp(x0) - -0.93529606) / log_abs(sqrt_abs(log_abs(x13) - -0.021308253)), 0.06840701)) + (exp(x2) - x10)))))
