Complexity|MSE|Equation
1|0.3138583|-3.7904305
3|0.2803548|(x4 + -3.7921467)
4|0.19494887|(sqrt_abs(x12) + -4.585388)
5|0.051747974|((x4 * 0.51708865) + -3.7913182)
6|0.049130376|(exp(x31 * 0.33299842) + -4.861125)
8|0.044936735|(((x12 * sqrt_abs(x16)) * 0.36285245) + -3.854724)
10|0.041623857|(((x31 * sqrt_abs(x16 + 1.3412669)) * 0.31262556) + -3.9111764)
12|0.041003644|(((x31 * sqrt_abs(x16 + pow(0.6757417, x11))) * 0.35201928) + -3.9156034)
14|0.040788636|(((x31 * sqrt_abs(x16 + sqrt_abs(log_abs(log10_abs(sqrt_abs(x33)))))) * 0.3124088) + -3.9109037)
15|0.040250443|(((x31 * sqrt_abs(x16 + sqrt_abs(x31))) * ((x2 * -0.010777585) + 0.35934052)) + -3.9553108)
21|0.039852608|(((x31 * sqrt_abs(x16 + pow(log_abs(sqrt_abs(log10_abs((x1 - 0.35707694) * -0.040490907))) / x16, -0.20584679))) * 0.28687334) + -3.909068)
