Complexity|MSE|Equation
1|0.32133704|-3.7891533
3|0.3145183|(x4 + -3.7944775)
4|0.25570446|(log10_abs(x9) + -1.8779933)
5|0.04757937|(pow(1.3981043, x15) + -4.861404)
7|0.04002003|log_abs((-2.048945 - exp(x31)) * 0.0066548204)
8|0.039892033|log_abs((-2.0515027 - pow(2.6763268, x31)) * -0.0066694277)
9|0.03963401|log_abs(sqrt_abs((-1.5372255 - pow(4.822608, x31)) * 0.00015355012))
10|0.038936213|(log10_abs((pow(-7.071496, x16) * 0.26179427) + 0.540589) + -3.8434153)
12|0.037261583|(log10_abs(((pow(-7.9794683, x16) + x32) * 0.18134865) + 0.6656256) + -3.835128)
14|0.037157502|(log10_abs((((pow(-7.4242787, x16) + x11) * 0.17170732) + 0.47124076) / -0.21355467) + -4.391196)
16|0.037154265|(log10_abs((pow(x30, -0.024237528) * 0.63947093) + ((pow(7.930974, x16) + x32) * 0.18040423)) + -3.8283746)
17|0.03705439|(log10_abs(((pow(log10_abs(log_abs(log_abs(x16))) - 7.87441, x16) + x32) * 0.16934904) + 0.6676276) + -3.8366134)
18|0.03591178|(log10_abs((pow(x5 + -0.62216526, -0.07858495) * 0.6341622) + ((pow(7.930705, x16) + x32) * 0.18535721)) + -3.8343625)
22|0.03582252|((-2.9048321 - ((0.016078983 - x2) * 0.3090671)) - exp((log10_abs(pow(-0.04549649, x5) + x18) - exp(x16 * 1.4440949)) * 0.06873263))
24|0.035806257|((-2.9048321 - ((0.016078983 - x2) * (0.3090671 + -0.0023896059))) - exp((log10_abs(pow(-0.04549649, x5) + x18) - exp(x16 * 1.4440949)) * 0.06873263))
25|0.03574978|((-2.9048321 - ((0.034481626 - x2) * 0.3090671)) - exp((log10_abs((sqrt_abs(x2) * x30) + pow(0.06873263, x5)) - exp(x16 * 1.4440949)) * 0.06873263))
