Complexity|MSE|Equation
1|0.86003697|-1.1944525
2|0.69544345|log_abs(x0)
3|0.051283643|(x16 - 1.1938051)
5|0.042196553|((x16 * 0.9046425) - 1.1938541)
7|0.03605408|((x16 - 1.1935307) - (x2 * 0.12169347))
8|0.0333719|(x16 - pow(exp(x2) + 2.8670926, 0.119340226))
9|0.033018045|(x16 - sqrt_abs((exp(x15) * 0.04727956) + 1.3200644))
10|0.030518191|(x16 - pow((exp(x2) + 2.9411302) - x10, 0.12054692))
11|0.03051819|(x16 - pow(sqrt_abs((exp(x2) + 2.9404938) - x10), 0.2411182))
12|0.029534476|(x16 - pow(((exp(x2) - x10) - x26) + 3.3016114, 0.11778475))
14|0.029390508|(x16 - pow((exp(x2) - x10) + ((-0.40921897 - x26) + 4.017154), 0.11592468))
16|0.029198054|((x16 - pow(((exp(x2) + (4.8223214 - x26)) - 0.6938312) - x10, 0.116550416)) / 1.0182457)
19|0.029128008|(x16 - pow(((((exp(x2) + 0.40665233) - x11) - (x26 + -2.3508377)) - log10_abs(x1)) - x10, 0.11960159))
21|0.029121073|(x16 - pow(((((exp(x2) + 0.40665233) - x11) - (x26 + -2.3508377)) - log10_abs(x1 * 0.87179095)) - x10, 0.11960159))
22|0.029022766|(x16 - pow((((((exp(x2) + 1.8467748) - 0.07712025) - (x26 + -2.022884)) - log10_abs(x16)) - x10) - sqrt_abs(x3), 0.11644324))
