Complexity|MSE|Equation
1|0.85709894|-1.2010493
2|0.70184|log_abs(x0)
3|0.053161845|(x16 - 1.1950201)
5|0.0440689|((x16 * 0.9043598) - 1.195599)
7|0.036013022|((x16 / pow(1.0479192, x33)) + -1.1604292)
8|0.035459246|(x16 - pow(-2.9112523 - exp(x2), 0.11932531))
10|0.032658413|(x16 - pow(-2.94969 - (exp(x2) - x10), 0.120802894))
12|0.03126601|(x16 - pow((x26 + -3.395803) - (exp(x2) - x10), 0.11633792))
14|0.03123771|(x16 - pow(((exp(x2) - x10) - -3.3323429) - (x26 + -0.06251825), 0.11866532))
16|0.031186135|(x16 - pow((sqrt_abs(log10_abs(x16)) + 2.9432237) + ((exp(x2) - x10) - x26), 0.11675855))
17|0.031114893|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(pow(((x10 + -3.3944094) - (exp(x2) - x26)) + x3, 0.9530853)))))
18|0.030906925|(x16 - pow((sqrt_abs(log10_abs(x2 - x33)) + 2.9440277) + ((exp(x2) - x10) - x26), 0.112458676))
22|0.030818578|(x16 - pow((pow(sqrt_abs(log10_abs(x2 - x33) / -0.815492), 1.6487203) + 2.9440277) + ((exp(x2) - x10) - x26), 0.112458676))
24|0.030400015|(x16 - pow(((((x26 + -3.3951323) - 0.3708041) - (exp(x2) - (x10 + x32))) + (log_abs(sqrt_abs(x2)) * x16)) - x14, 0.11650376))
