Complexity|MSE|Equation
1|0.85951006|-1.1952106
2|0.70439607|log_abs(x0)
3|0.0520372|(x16 - 1.1935123)
5|0.04344137|((x16 - 1.3161658) * 0.90694284)
7|0.03713547|(((x2 * -0.123550415) + -1.1938989) + x16)
8|0.03507268|(((exp(x14) * -0.012250926) + -1.1622761) + x16)
9|0.03411485|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(exp(x2) + 2.6433554))))
10|0.033854116|((((exp(x14) - x10) * -0.012250926) + -1.1622761) + x16)
11|0.031029994|(x16 - sqrt_abs(sqrt_abs(sqrt_abs((exp(x2) - x10) - -2.8342006))))
13|0.030073605|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((exp(x2) - x10) - x26) - -3.4488313))))
15|0.029835898|(x16 - sqrt_abs(sqrt_abs(sqrt_abs((((exp(x2) - x32) - x10) - x26) - -3.1633348))))
22|0.029619865|(x16 - sqrt_abs(sqrt_abs(sqrt_abs(((exp(x2) - x10) - x26) - (-0.5610939 - exp(sqrt_abs(sqrt_abs(1.8165368 - exp(log_abs(x16))))))))))
