Complexity|MSE|Equation
1|0.26173592|-3.816925
3|0.21977308|(x4 - 3.7661505)
4|0.08464967|(log_abs(x6) - 7.9013467)
5|0.04479566|((x4 * 0.52684486) - 3.7901711)
7|0.03809279|log_abs((exp(x31) - -2.1268308) * 0.0064943316)
9|0.038003728|log_abs(((exp(x31) - -2.1346383) - x9) * 0.0064943316)
11|0.03615927|log_abs((exp(x31) - (-1.1226532 - pow(-1.1226532, x5))) * 0.0064943316)
12|0.03615827|log_abs((exp(x31) - (-1.1236625 - pow(exp(x5), 0.117579855))) * 0.0064943316)
13|0.035911407|log_abs((exp(x31) - (-1.1190374 - pow(-1.1854329 - x5, 0.05896201))) * 0.0064943316)
14|0.03475116|((((((log_abs(x6) + x31) * x31) - x18) + x5) * 0.083666004) - 3.9049842)
16|0.03453805|((((log_abs(exp(x31) * x6) * x16) + log_abs(x5 - -1.2926481)) * 0.07963416) - 3.8909862)
17|0.033791814|((((log_abs(exp(x16) * x6) * x31) + (x5 / pow(x5, x5))) * 0.07868793) - 3.8869376)
18|0.033079|(((((log_abs((exp(x31) * x6) - exp(x18)) * x31) - x18) + x5) * 0.08365684) - 3.9074123)
20|0.032991786|(((((log_abs(((exp(x31) * x6) - exp(x18)) + x5) * x31) - x18) + x5) * 0.0839242) - 3.9071145)
21|0.032823127|(((((log_abs((exp(x31) * (x6 - exp(x1))) - exp(x18)) * x31) - x18) + x5) * 0.08365684) - 3.9079866)
23|0.03260548|(((((log_abs(((exp(x31) * x6) - exp(x18)) + (x5 * exp(x3))) * x31) - x18) + x5) * 0.0839242) - 3.9071145)
25|0.032449864|(((((log_abs(((exp(x31) * x6) - exp(x18)) / exp(log10_abs(log_abs(x4)) * x10)) * x31) - x18) + x5) * 0.08346642) - 3.9031706)
