Complexity|MSE|Equation
1|1.839425|-0.5680866
2|1.1796547|log_abs(x33)
3|0.4398198|(x16 - 1.3304236)
5|0.3842377|((x16 * 0.83651286) - 1.2062821)
7|0.3837198|((x16 / 1.2811654) - pow(x26, -0.08838591))
8|0.22293007|(x16 + (log10_abs(x30 + -0.21982425) - 0.89268833))
9|0.19987443|(x16 + (log10_abs(x30 + -0.21982425) - sqrt_abs(x19)))
10|0.16322027|(x16 + (log10_abs(x30 + -0.21982425) - sqrt_abs(sqrt_abs(x19))))
11|0.13645516|(x16 + (log10_abs(x30 + -0.21982425) - sqrt_abs(x30 + -0.50293833)))
12|0.07112386|(x31 - pow(exp(x11) / ((x26 / 0.7469219) + -0.25750256), 0.1950016))
14|0.06169962|(x31 - pow(exp(x11) / exp(log_abs((x26 / 0.8822933) - 0.21839017)), 0.16854492))
15|0.048616603|(x12 - sqrt_abs((-0.3722782 / ((x24 + 1.0496575) - log10_abs(x12))) - (x3 + 1.0714178)))
16|0.048351023|(x13 - sqrt_abs((-0.34726474 / ((x24 + 1.0498395) - log10_abs(x12))) - (sqrt_abs(1.1528258) + x3)))
17|0.04524044|(x13 - sqrt_abs((-0.38943997 / ((x24 + 1.0480129) - log10_abs(x12))) - (x3 + pow(x26, -0.12303631))))
19|0.043206047|(x12 - sqrt_abs((-0.3721123 / ((x24 + 1.0480129) - log10_abs(x12))) - (x3 + pow(x1 - x10, -0.14361735))))
20|0.037641235|(x16 - sqrt_abs(sqrt_abs(((exp(x27) / exp(log_abs(log_abs(log10_abs(x11) * x12)))) * 0.384511) + sqrt_abs(exp(x33)))))
22|0.034072813|(x16 - sqrt_abs(sqrt_abs(((exp(x27) / exp(log_abs(log_abs(log10_abs(x11) * x12)))) * 0.384511) + sqrt_abs(exp(x11 + 0.39386147)))))
24|0.034015685|(x16 - sqrt_abs(sqrt_abs(((exp(x27) / (exp(log_abs(log_abs(log10_abs(x11) * x12))) * 1.0836504)) * 0.411583) + sqrt_abs(exp(x11 + 0.39386147)))))
