Complexity|MSE|Equation
1|0.70397615|-1.2603244
2|0.52835643|log_abs(x0)
3|0.05071625|(x16 + -1.1795272)
5|0.028359098|((x16 * 0.84609574) - 1.191965)
7|0.025799775|((-1.1741595 - x8) + (x16 * 0.8768011))
8|0.025141282|(x16 - pow(exp(x15) + 1.2636547, 0.18029392))
9|0.01808334|(((x16 * 0.84787863) - 1.2044926) - (0.0027152349 / x16))
11|0.015609862|(((x16 * 0.8785839) - (x8 + 1.1866474)) - (0.0027039512 / x16))
13|0.015168451|(((x16 * 0.86307496) - (1.1952281 + x8)) - ((0.0025342884 / x16) * x26))
14|0.014893536|(((x16 * 0.8446383) - 1.3002908) - (-0.091719836 / sqrt_abs((x16 / x14) - x16)))
15|0.014213959|((((x16 - x8) * 0.86307496) - 1.1952281) - (0.0025342884 / (x16 / (x26 - x25))))
19|0.0141969565|(((x16 * 0.8446383) - 1.3002908) - (-0.091719836 / sqrt_abs(x16 / (x14 / pow(log_abs(x13 + x4), x16)))))
20|0.013534371|(((x16 * 0.8446383) - 1.3002908) - (-0.091719836 / sqrt_abs(x16 / (x14 / pow(x17 + (-1.0134442 - -0.767693), x14)))))
