Complexity|MSE|Equation
1|0.9123043|-1.1251278
2|0.58249646|log_abs(x0)
3|0.019344257|(x16 - 1.1801852)
5|0.0185221|(x16 - (x7 + 1.169798))
6|0.01778111|((x16 - sqrt_abs(x8)) - 1.0860372)
7|0.014443227|((x16 - 1.1685183) - (x10 * -0.069259346))
8|0.013415018|((x16 + (sqrt_abs(x8) * x10)) - 1.1579801)
9|0.012309401|((x16 - ((x10 - x5) * -0.06926086)) - 1.1718168)
10|0.012070034|((x16 + (sqrt_abs(x8 * x19) * x10)) - 1.1628599)
11|0.011139477|((x16 + (sqrt_abs(x8 * exp(x5)) * x10)) - 1.1520398)
12|0.010620703|((x16 + (sqrt_abs(x8 * (x5 - -0.71990365)) * x10)) - 1.1628599)
13|0.009768333|((x16 + (sqrt_abs((exp(x5) * x8) * x19) * x10)) - 1.1520398)
14|0.008736213|((x16 + (sqrt_abs((pow(x17, x27) * x8) * x19) * x10)) - 1.1511209)
15|0.008506794|((x16 - (x10 * ((pow(0.3973241 - x19, 1.2501289) + x5) * -0.101986))) - 1.1689506)
16|0.008253806|((x16 - (x10 * ((sqrt_abs((x19 - x18) - 0.73719245) + x5) * -0.096500754))) - 1.1662161)
17|0.007568882|((x16 + (sqrt_abs(x8 * ((x5 + sqrt_abs(pow(x26, x27))) * x19)) * x10)) - 1.1628599)
19|0.0070567597|((x16 + (sqrt_abs((exp((sqrt_abs(log_abs(x15)) * x5) - x27) * x8) * x19) * x10)) - 1.1511209)
20|0.0067664273|((x16 + (sqrt_abs((exp((pow(log_abs(x27), x12) * x5) - x27) * x8) * x19) * x10)) - 1.1511209)
21|0.0064278278|((x16 + (sqrt_abs((exp((sqrt_abs(log_abs(-0.24855681 - x2)) * x5) - x27) * x8) * x19) * x10)) - 1.1469206)
23|0.0062246327|((x16 + (sqrt_abs(((exp((sqrt_abs(log_abs(-0.24558306 - x2)) * x5) - x27) + -0.37219965) * x8) * x19) * x10)) - 1.1511209)
24|0.0061029997|((x16 + (sqrt_abs(((exp((sqrt_abs(log_abs(-0.24855681 - x2)) * x5) - x27) + log10_abs(x12)) * x8) * x19) * x10)) - 1.1469206)
