Complexity|MSE|Equation
1|1.4409038|-0.68185663
2|0.6686508|log_abs(x33)
3|0.11074611|(x16 - 1.287792)
5|0.053109594|((x16 * 0.8307083) - 1.1852144)
6|0.044577707|(x15 - sqrt_abs(x11 + 1.415961))
7|0.025507905|((pow(0.93738586, x33) * x16) + -1.1419224)
8|0.0248471|((pow(exp(x33), -0.07118094) * x16) + -1.1419224)
9|0.020374564|(x15 - sqrt_abs(x11 + sqrt_abs(2.263623 - x33)))
11|0.019750318|(x16 - ((((x33 * x33) + x19) * 0.049182624) - -1.1627245))
12|0.016570399|((pow((exp(x33) * x24) - 2.0150313, -0.06548157) * x16) + -1.1578368)
18|0.016510518|((pow(((exp(x33) * x24) - sqrt_abs(sqrt_abs(sqrt_abs(sqrt_abs(x33))))) - 1.0583436, -0.065364726) * x16) + -1.1572226)
19|0.015877487|(x16 - sqrt_abs(((((x33 * x2) + x19) - sqrt_abs(x8 * (x33 * x2))) * 0.17391679) - -1.3429977))
21|0.015313942|(x16 - sqrt_abs(((((((x33 * x2) + x19) * 1.2623085) + 0.26257762) + (x33 - exp(x8))) * 0.113653466) - -1.4257915))
24|0.014724676|(x16 - (sqrt_abs((((((((x33 + -0.048551608) * x2) + x19) * (1.2623085 - x7)) + -1.4257915) - 0.93526864) * 0.113653466) - -1.4257915) - -0.070211925))
