Complexity|MSE|Equation
1|0.63015646|-1.279878
3|0.161347|(x15 - 1.1845459)
5|0.15244032|((x15 * 0.86034817) - 1.2062687)
6|0.14080918|(x16 - sqrt_abs(-1.5451939 - x0))
7|0.044560153|(x31 - pow(0.98151886 - x0, x17))
9|0.026123269|((x31 - pow(1.0060436 - x0, x33)) + -0.16782516)
10|0.01793593|((x31 - pow(log_abs(0.1218506 - x0), x33)) + -0.15581545)
14|0.01779066|((x30 * ((log_abs(x15 + -1.035417) - x19) * x0)) + (x31 + -1.1555661))
15|0.017427914|((x30 * (log_abs(log_abs(x0) + -0.08411412) * x0)) + (x31 + (-1.1568625 + x8)))
16|0.014997328|((((pow(x16, 1.1580247) * (exp(x10 + x25) * x30)) * -0.09251267) + -1.1572548) + x31)
18|0.011212393|((x30 * ((log_abs(x15 + -1.035417) + (exp(exp(x21)) * 0.015594499)) * x0)) + (x31 + -1.1555661))
21|0.009849738|(x31 - sqrt_abs(-1.2841284 - (x0 * ((pow(exp((x4 - x33) + x10), x28) + -0.24654679) * (x4 - x33)))))
23|0.009745052|(x31 - sqrt_abs(-1.6495361 - ((x0 * ((pow(exp((x31 - x33) + x10), x28) + -0.35416296) * (x4 - x33))) - 0.2918838)))
24|0.009423745|(x31 - sqrt_abs(-1.3576523 - (x0 * ((pow(exp((x4 - x33) + x10), x28) + log10_abs(x30 * x21)) * (x4 - x33)))))
25|0.0093646385|(x31 - sqrt_abs(-1.3576523 - (x0 * (((pow(exp(((x31 - x33) + x10) + x18), x28) + 0.7892497) - x22) * (x4 - x33)))))
