Complexity|MSE|Equation
1|0.9243398|-1.2617714
2|0.30387855|log_abs(x0)
3|0.15099928|(x16 - 1.2271646)
5|0.07947392|((x31 * 0.769218) + -1.2417268)
6|0.077754274|(x31 - sqrt_abs(1.6948066 + x2))
7|0.06228632|((x31 - (x2 * 0.1967018)) - 1.2182915)
8|0.0619342|((x31 - (0.18691985 * x33)) - sqrt_abs(1.6039485))
9|0.046363723|((((x0 - x26) / -6.3206735) - 1.1830282) + x31)
11|0.04158944|((x31 - (x2 * 0.15856238)) - sqrt_abs(sqrt_abs(x18 + 2.2199311)))
12|0.032961223|(x31 - pow((pow(x1, x32) - x26) + exp(x18), 0.14245768))
14|0.022440994|(x31 - pow((pow(x14, x31) + exp(x18 + x24)) - x26, 0.14245768))
16|0.021897512|(x31 - pow(((pow(x13, x32) - x26) / 0.596306) + exp(x18 - -0.31886205), 0.13165608))
18|0.016501041|(x31 - pow((((pow(x13, x31) - x26) + 0.8746059) + exp(x18 - x17)) - x21, 0.14196539))
21|0.015302407|((x31 * 0.9328835) - sqrt_abs(sqrt_abs(((log_abs(sqrt_abs(x6) + 0.8002131) + x18) - x26) + ((x33 * x23) - x4))))
22|0.0152628645|(x31 - pow((((pow(x14, x32) - x26) / 0.63391954) + exp(x18 - x31)) + (x31 - (x7 * 1.0651029)), 0.13474737))
23|0.015139739|((x31 * 0.9433661) - sqrt_abs(sqrt_abs(((log_abs(sqrt_abs(x6 + x18) + 0.8021785) + x18) - x26) + ((x33 * x23) - x4))))
24|0.014877972|((x31 * 0.9433661) - sqrt_abs(sqrt_abs(((log_abs(sqrt_abs(x6 + exp(x18)) + 0.8021785) + x18) - x26) + ((x33 * x23) - x4))))
