Complexity|MSE|Equation
1|0.9341651|-1.2793313
2|0.83979803|log_abs(x0)
3|0.020883808|(x16 - 1.2001716)
5|0.020716155|((x16 - x8) - 1.1901231)
6|0.020712914|(x16 - exp(x8 + 0.17234944))
7|0.015582727|((x16 + -1.2223169) + (x18 * -0.1542033))
8|0.015337448|((x16 + -1.1888657) + (exp(x30) * -0.0007133886))
9|0.015279074|(x16 - sqrt_abs(sqrt_abs((2.4346387 + x18) - x0)))
10|0.014479137|((x16 - 0.26603937) - pow(log10_abs(x30 - x0), 0.07056935))
11|0.014163296|(x16 - sqrt_abs(sqrt_abs((2.4346387 + (x18 - 0.32131433)) - x0)))
14|0.01348936|((x16 + -1.1888657) + (-0.0007133886 * (exp(x30) + pow(x16 / x30, x1))))
15|0.013388883|(x16 - sqrt_abs((x18 * (log_abs(-0.45490733) / pow(x18 * x33, -1.0497007))) + -1.4635255))
16|0.011969551|((x16 + -1.1888657) + ((exp(x30) - ((x3 * (x0 / x8)) * x2)) * -0.0007133886))
