Complexity|MSE|Equation
1|1.000475|-0.83365315
2|0.75519407|log10_abs(x0)
3|0.14365542|(x16 - 1.2467587)
5|0.06891194|(x31 - pow(1.2087, x1))
6|0.03889326|((x16 - 1.0972465) - sqrt_abs(x7))
7|0.033472676|((x31 / pow(-1.1067237, x15)) - 1.1017506)
8|0.031618886|(x31 - pow(exp(x11 + 1.260874), 0.1227281))
9|0.029763116|(x31 - sqrt_abs(sqrt_abs(x31 + -1.9168284) + x33))
10|0.021448335|(x31 - pow(exp(x33 + 1.2705588) - x26, 0.11264518))
14|0.019522138|(x31 - pow(-0.11092338 / exp(x33 + log_abs(log_abs(x10 + x28))), -0.09804131))
15|0.019520583|(x31 - pow(sqrt_abs(-0.11195598 / exp(x33 + log_abs(log_abs(x10 + x28)))), -0.19654445))
18|0.019099794|(x16 - sqrt_abs(sqrt_abs((((exp(x16) - x26) * 0.58019274) - x4) + sqrt_abs(sqrt_abs(x29 - 0.8209421)))))
19|0.018424148|(x16 - sqrt_abs(sqrt_abs((((exp(x16) - x26) * 0.582581) - x4) + sqrt_abs(x29 - pow(x26, -0.23900057)))))
20|0.01814519|(x16 - sqrt_abs(sqrt_abs((((exp(x16) - x26) * 0.582581) - x4) + sqrt_abs(x29 - sqrt_abs(0.582581 - x28)))))
21|0.016596902|(x16 - sqrt_abs(sqrt_abs((((exp(x16) - x26) * 0.582581) - x4) + sqrt_abs(x29 - pow(x23 / -0.29925233, 0.3339248)))))
23|0.016052255|(x16 - sqrt_abs(sqrt_abs((((exp(x16) - (x26 + x30)) * 0.582581) - x4) + sqrt_abs(sqrt_abs(x29 - sqrt_abs(x23 / x16))))))
25|0.015696108|(x31 - pow(-0.19039711 / ((exp(x33 + log10_abs(log_abs(x10 + x28) / (pow(0.28299636, 0.7917381) + exp(0.10783313)))) + -0.06670283) / -0.5958893), -0.10247822))
