Complexity|MSE|Equation
1|0.80167216|-1.2147893
2|0.42157924|log_abs(x0)
3|0.04975734|(x16 + -1.2004131)
5|0.02762322|((x16 + -1.405877) * 0.8553669)
7|0.016572649|((x16 / pow(1.0747681, x11)) - 1.1603196)
9|0.01601515|((x16 - pow(pow(x23, 0.06628803), x0)) - 0.18878742)
10|0.010618658|((sqrt_abs(sqrt_abs(sqrt_abs(-0.42970377 / x23))) * x16) + -1.1746867)
11|0.009916635|(((x16 - pow(pow(x23, 0.07050547), x0)) / 1.0806811) - 0.26257828)
12|0.009916632|(((x16 - pow(pow(sqrt_abs(x23), 0.14100377), x0)) / 1.0808847) - 0.26279572)
13|0.009266563|(((x16 - pow(pow(x11 - 0.106652066, 0.06628803), x0)) / 1.0928066) - 0.2758715)
15|0.009163818|(((x16 - pow(pow(x11 - (0.2758715 * x21), 0.06628803), x0)) / 1.0928066) - 0.2758715)
17|0.009033443|(((x16 - pow(pow(x11 - ((x31 + x21) * 0.044771966), 0.06628803), x0)) / 1.0928066) - 0.2758715)
19|0.008677193|(((x16 - pow(pow(x11 - sqrt_abs((sqrt_abs(x5) * 0.065231584) + -0.032167546), 0.067516774), x0)) / 1.0942602) - 0.27067003)
