Complexity|MSE|Equation
1|0.5029433|-1.3459264
2|0.50167614|log_abs(x0)
3|0.028049085|(x16 + -1.193988)
5|0.026019946|(-1.2033068 - (x16 * -0.9387825))
7|0.023916595|((x16 / pow(1.0762192, x29)) - 1.1789303)
8|0.023863042|((x16 / pow(sqrt_abs(1.1789303), x29)) - 1.1789303)
9|0.023287386|(x16 - pow(pow(x16, x26) + 2.3647404, 0.13540722))
10|0.022034043|(x16 - pow(log_abs((x6 / x22) + x6), 0.13148339))
11|0.019697279|(x16 - pow(exp(sqrt_abs(pow(x16, x26))) - x30, 0.13540722))
12|0.019573124|(x16 - pow((pow(exp(x28), x18) - x30) + 2.3647404, 0.13540722))
13|0.01485959|(x16 - pow((pow(x28 / x22, x18) - x30) + 2.5642858, 0.13540722))
15|0.014007872|(x16 - pow((pow(1.5377712 / x22, x18) - (x30 - x15)) + 2.5642858, 0.13540722))
16|0.013767319|(x16 - pow((pow((sqrt_abs(-0.33590955) / x15) / x22, x18) - x30) + 2.3647404, 0.13540722))
17|0.013051592|(x16 - pow((pow(sqrt_abs(-1.151221 / log_abs(x10)) / x22, x18) - x30) + 2.5642858, 0.13540722))
18|0.0128393695|(x16 - pow(((sqrt_abs(pow(x29 / (x17 * 0.46911), x5)) + 0.13540722) - x30) + 2.3647404, 0.13540722))
21|0.011127738|(x16 - pow((pow((x29 / x17) / 1.5265115, x18) + (2.3647404 + (x20 / (2.9206464 + x26)))) + x15, 0.13540722))
