Complexity|MSE|Equation
1|0.8725576|-1.2188805
2|0.82577354|log_abs(x0)
3|0.018725233|(x16 - 1.1775876)
5|0.01753871|((x16 / 0.9627731) - 1.1759981)
7|0.015299699|(x16 - ((x10 * -0.069976665) + 1.1740066))
9|0.011307509|(x16 - (pow(x16 - 1.4333227, 0.06106594) / 0.8517469))
10|0.010979086|((x16 - 1.1820588) - (-0.01148259 / exp(x10 / x5)))
11|0.009211909|(x16 - pow(exp(sqrt_abs(1.6414284)) - (x31 + x10), 0.12468727))
12|0.0068837837|((x16 - (1.1858283 + -0.020394951)) + (0.008233776 / (sqrt_abs(x16) - 1.1858283)))
20|0.0065167733|(x16 - pow(sqrt_abs(-0.54588026 / (1.2393265 - ((0.3795015 + -0.055109102) / ((x16 - pow(-0.5446632, -0.33545816)) * 1.294714)))), -0.38301277))
