Complexity|MSE|Equation
1|1.6631622|x16
2|1.0713426|log_abs(x0)
3|0.12768209|(x16 - 1.239145)
5|0.06504164|(x16 - pow(1.0814981, x0))
6|0.026289273|(x16 - sqrt_abs(-1.4159868 - x8))
8|0.023473388|((x16 - sqrt_abs(pow(x8, 0.7161143))) + -0.9922042)
9|0.023423038|((x16 - ((x9 + x26) * -0.100906394)) + -1.1937823)
10|0.019659014|(x16 - pow(exp(x18 - x26) + 3.0981011, 0.1058853))
12|0.01743731|(x16 - pow((exp(x18 - x26) * x27) + 2.731407, 0.10822616))
14|0.01559508|(x16 - pow(((exp(x18 - x26) * x27) - x18) + 2.731407, 0.10822616))
16|0.015240921|(x16 - pow(((exp(x18 - x26) * x27) - x11) + pow(2.731407, 1.1777421), 0.10822616))
17|0.01486885|(x16 - pow(((exp(x18 - x26) * x27) - x18) + (2.731407 - log10_abs(x10)), 0.10822616))
18|0.014626832|(x16 - pow((((exp(x18 - x26) * x27) + (2.731407 - -0.75371206)) + x7) - x32, 0.10822616))
19|0.014358881|(x16 - pow((exp(x19 - (x26 + x18)) + ((2.731407 - x5) + exp(x18))) + -0.56367886, 0.10822616))
20|0.014090234|(x16 - pow(((((exp(x18 - x26) * (x27 + 0.13426335)) + 0.9456022) + 2.731407) + x7) - x32, 0.10822616))
