Complexity|MSE|Equation
1|0.89632416|-1.3051857
2|0.76751506|log_abs(x0)
3|0.095276445|(x16 - 1.2674526)
5|0.069057114|((x16 * 0.848877) - 1.2731503)
6|0.06612775|(x12 - sqrt_abs(x11 + 1.6711122))
7|0.05474227|((x16 * pow(0.90200293, x33)) - 1.1845263)
8|0.05213761|(x16 - pow(exp(x4) + 1.9227433, 0.20405495))
9|0.026749512|(x31 - pow(exp(x30) + exp(x2), 0.19732222))
10|0.021790141|(x31 - pow(exp(x30) + pow(x32, x2), 0.18242344))
11|0.021790132|(x31 - pow(sqrt_abs(exp(x30) + pow(x32, x2)), 0.36489588))
12|0.01876429|(x31 - pow((exp(x30) - x20) + pow(x31, x2), 0.18181728))
14|0.018592512|(x31 - pow(exp(x30) + ((pow(x31, x2) + 0.055048317) - x20), 0.18181728))
15|0.017757514|(x31 - pow((exp(x30) + pow(x33, x2)) - log_abs(0.486756 - x12), 0.18181728))
16|0.016209193|(x31 - pow(exp(log_abs(log10_abs(x30) + x20) + x30) + pow(x31, x2), 0.18181728))
19|0.014377709|(((pow(pow(sqrt_abs(exp(exp(x30) + exp(x33)) * x3), 0.13997073), x10) + x31) + -2.3018208) * 0.9186067)
20|0.013297701|(((pow(pow(sqrt_abs(sqrt_abs(exp(exp(x30) + (exp(x33) * x11)))), 0.24488501), x10) + x31) + -2.2890108) * 0.9200852)
22|0.012264722|(((pow(pow(sqrt_abs(sqrt_abs(exp(exp(x30) + ((exp(x33) + x5) * x11)))), 0.2533331), x10) + x31) + -2.3018208) * 0.9186067)
23|0.012111723|(((pow(pow(sqrt_abs(sqrt_abs(exp(exp(x30) + (exp(x32) * x28)) + exp(x31))), 0.23577577), x10) + x31) + -2.2491882) * 0.94308287)
24|0.0120014055|(((sqrt_abs(pow(pow(exp(exp(x30) + (exp(x32) * x28)) + sqrt_abs(exp(exp(x32))), 0.10971962), x10)) + x31) + -2.2635412) * 0.9373819)
25|0.0113588385|(((pow(pow(sqrt_abs(sqrt_abs(exp(exp(x30) + (exp(x32) * x28)) + exp(x32 + x22))), 0.23773386), x10) + x31) + -2.2541988) * 0.9391484)
