Complexity|MSE|Equation
1|0.913532|-0.8620605
2|0.7469282|log10_abs(x0)
3|0.05800228|(x16 - 1.2247428)
4|0.050014343|(x16 - exp(x7))
5|0.02480224|(x16 - (x7 + 1.1909586))
6|0.01792014|((x16 - 0.17914826) - exp(x7))
7|0.014137845|(x16 - ((0.0022104515 / x25) + 1.1952767))
9|0.011600227|(x16 - sqrt_abs(sqrt_abs(2.080179 - (x0 * x16))))
11|0.0077367076|((x16 / 1.3664967) - sqrt_abs(sqrt_abs((1.0336149 - x31) + 1.067666)))
13|0.0074102287|((x31 / 1.4086162) - sqrt_abs(sqrt_abs((0.99348676 - x31) + pow(1.0710285, x29))))
15|0.007099687|((x31 / 1.4211451) - sqrt_abs(sqrt_abs((pow(x3, 0.040160313) - x31) + pow(1.0702376, x29))))
17|0.0070367265|((x31 / 1.4211451) - sqrt_abs(sqrt_abs((pow(1.0702376 * x3, 0.040160313) - x31) + pow(1.0702376, x29))))
20|0.006973937|((x31 / 1.4211451) - sqrt_abs(sqrt_abs((sqrt_abs(pow(sqrt_abs(exp(pow(x17, x8)) - x23), x30)) - x31) + 1.0702376)))
21|0.0063563506|((x31 / 1.4211451) - sqrt_abs(sqrt_abs((sqrt_abs(sqrt_abs(pow(exp(0.3850818 / log_abs(x31)), -0.047924135))) - x31) + pow(1.0702376, x29))))
22|0.006330893|((x31 / 1.4211451) - sqrt_abs(sqrt_abs((sqrt_abs(pow(exp((0.3850818 / log_abs(x31)) * 0.5453291), -0.047924135)) - x31) + pow(1.0702376, x29))))
