Complexity|MSE|Equation
1|1.3138762|-0.7716938
2|0.97685397|log10_abs(x0)
3|0.10985985|(x16 + -1.2498994)
5|0.053332224|(x16 - pow(1.0029337, x6))
7|0.050059564|(x16 - (pow(1.1162908, x2) - -0.17590944))
8|0.048454285|(x16 - pow(exp(x4) + 2.7682874, 0.12371709))
9|0.045476545|((x16 + -1.1904477) / pow(pow(x4, x15), 0.06656742))
11|0.04420343|(x16 - pow((pow(x15, x31) + 2.533639) - x10, 0.13132988))
13|0.0438335|(x16 - pow(((pow(x15, x31) - x10) + x15) + 2.5646298, 0.13132988))
14|0.043505754|(x16 - pow(((pow(x15, x15) + 1.97796) - log10_abs(x11)) - x10, 0.13132988))
15|0.043435443|(x16 - pow((((pow(x14, x15) + 2.4246612) - -0.6941633) - x10) - x26, 0.13033581))
16|0.04300335|(x16 - pow(((pow(x15, x31) + 2.280952) - log_abs(0.47055602 - x15)) - x10, 0.13132988))
18|0.042676724|(x16 - pow(((pow(x15, x31) + 2.280952) - log_abs((0.47055602 - -0.2570586) - x15)) - x10, 0.13132988))
22|0.042524647|(x16 - pow(((pow(x14, x15) + log10_abs(1.97796 / log10_abs(0.28804216))) - log_abs(pow(x4, x15) * 0.12371709)) - x10, 0.13132988))
