Complexity|MSE|Equation
1|1.3123187|-0.7784823
2|0.9779671|log10_abs(x0)
3|0.1082945|(x16 + -1.2490438)
5|0.07159861|((x16 * 0.85322857) - 1.1802413)
7|0.04698127|((x16 - 1.1498526) / pow(-1.0718247, x2))
8|0.045916207|(x16 - pow(exp(x2) - -2.9460435, 0.119541265))
9|0.04450096|(x16 - pow(pow(x15, x16) - -2.3510876, 0.13440709))
10|0.043237895|(x16 - pow((exp(x2) - -2.967627) - x10, 0.120119624))
11|0.042078458|(x16 - pow(pow(x16, x31) - (x10 + -2.1492867), 0.13440709))
13|0.042009395|(x16 - pow((pow(x16, x16) + (2.6690032 - x10)) + 0.18524848, 0.13440709))
15|0.041651536|(x16 - pow(((pow(x16, x16) + x16) + (2.6690032 - x10)) + 0.18524848, 0.13440709))
19|0.041288737|(x16 - pow(((pow(x16 + -0.12173535, x16) + x16) + (2.6690032 - x10)) + log10_abs(exp(0.18524848)), 0.13440709))
24|0.040952947|((((pow(x4, 1.5379835) - (((exp(log_abs(log10_abs(log10_abs(log10_abs(x4 / -0.19032262))))) - 1.6153388) * x16) + x10)) * -0.051684853) + x16) + -1.1624033)
