Complexity|MSE|Equation
1|1.8914157|-0.2582468
2|1.5737088|log10_abs(x0)
3|0.4367206|(x12 - 11.28063)
4|0.41045898|log_abs(x31 - 10.045825)
5|0.09076949|(19.289368 - (206.31235 / x16))
6|0.07739954|(erf(x16 - 10.683581) / 0.4660918)
8|0.06347078|((tanh(x16 - 10.473155) * 2.4398777) - 0.3905738)
10|0.06279634|(tanh(tanh(log_abs(square(log10_abs(x6) + -0.95775104)))) * 3.4883842)
11|0.06066924|((tanh(log_abs(cube(log10_abs(x6) + -0.9498221))) * 2.403262) - x19)
12|0.060474955|((tanh(log_abs(cube(log10_abs(x6) + -0.94956475))) * 2.4060485) - erf(x19))
13|0.06006777|((tanh(log_abs(cube(log10_abs(x6 + x10) + -0.9521006))) * 2.4130852) - x19)
16|0.05970424|((tanh(log_abs(cube(log10_abs(abs(x6) + (x10 * 2.4130852)) + -0.9565067))) * 2.4130852) - x19)
18|0.059600696|((erf(log10_abs((1.0 / x15) * (cube((x6 / x14) * -0.27991197) + x34))) / 0.4577422) - x19)
19|0.059418686|((erf(log10_abs((1.0219003 / x14) * (cube((x6 / x15) * -0.27720287) + x34))) / 0.45872796) - erf(x19))
20|0.059189327|((erf(log10_abs((1.0219003 / x14) * (cube((x6 / x15) * -0.27720287) + x34))) / 0.45872796) - erf(erf(x19)))
21|0.05871864|(((erf(log10_abs((tanh(x6) / x16) * (cube((x6 / x15) * -0.2794837) + x34))) / 0.45689) - x19) - x19)
22|0.058708884|(((erf(log10_abs((tanh(x6) / x16) * (cube((x6 / x15) * -0.2794837) + x34))) / 0.45689) - x19) - tanh(x19))
23|0.058699165|(((erf(log10_abs((tanh(x6) / x16) * (cube((x6 / x15) * -0.2794837) + x34))) / 0.45689) - tanh(x19)) - tanh(x19))
24|0.058690477|(((erf(log10_abs((tanh(x6) / x16) * (cube((x6 / x15) * -0.2794837) + x34))) / 0.45689) - tanh(x19)) - tanh(tanh(x19)))
25|0.05868261|(((erf(log10_abs((tanh(x6) / x16) * (cube((x6 / x15) * -0.2794837) + x34))) / 0.45689) - tanh(x19)) - tanh(tanh(tanh(x19))))
