Complexity|MSE|Equation
1|1.8896781|-0.25681272
2|1.5713785|log10_abs(x0)
3|0.42292425|(x32 + -10.9647255)
4|0.3882739|log_abs(x14 + -9.887114)
5|0.121660545|((x16 + -10.752157) * 1.7616276)
6|0.07574842|(erf(x16 + -10.683754) * 2.1451325)
8|0.06178842|((tanh(x16 + -10.470829) * 2.4414477) + -0.395001)
10|0.06011479|(((tanh(x16 + -10.471449) * 2.440283) + -0.34862474) - x19)
11|0.060109343|(((tanh(x16 + -10.471449) * 2.440283) + -0.34862474) - tanh(x19))
12|0.05959414|((tanh(x16 + -10.473059) * 2.4399872) + (cube(erf(x3)) * -0.3909093))
15|0.059335947|((tanh(abs(x16) + -10.503708) * 2.4416313) + (square(abs(relu(log_abs(x34)))) + -0.3909286))
16|0.058024775|((tanh(abs(x16) + -10.503708) * 2.4416313) + (square(relu(log_abs(x34)) / -0.74225914) + -0.3909286))
