Complexity|MSE|Equation
1|1.8950661|-0.25929615
2|1.5776739|log10_abs(x0)
3|0.4237737|(x32 - 10.967529)
5|0.08983709|((-206.02751 / x16) - -19.263405)
6|0.08101312|((-1104.7876 / square(x16)) - -9.707252)
7|0.079118155|((-321.77933 / x16) - (x16 + -40.836693))
8|0.074145675|(erf(log_abs(log10_abs(x6 * -0.10954785))) / 0.19670658)
9|0.062497772|(tanh(log_abs(cube(log10_abs(x6 * 0.11043341)))) / 0.41751817)
10|0.061780635|(tanh(tanh(log_abs(square(log10_abs(x6 * 0.11028011))))) / 0.28653213)
11|0.059804052|((tanh(log_abs(cube(log10_abs(x6 * 0.11241657)))) / 0.41636977) - x19)
12|0.059603956|((tanh(log_abs(cube(log10_abs(x6 * 0.11241657)))) / 0.41636977) - erf(x19))
14|0.05927715|(tanh(log_abs(square(log10_abs((x6 * -0.121617764) + greater(square(x32), x6))))) / 0.34819916)
16|0.05763645|(tanh(log_abs(square(log10_abs((x6 * -0.12026829) + erf(x32 - (x6 / x32)))))) / 0.3559735)
19|0.057347372|(tanh(log_abs(square(log10_abs((x6 * -0.12026829) + erf(x32 + ((x6 * -0.10116566) + exp(x5))))))) / 0.3559735)
20|0.057292104|(tanh(log_abs(square(log10_abs((x6 * -0.12026829) + erf(x32 + ((x6 * -0.12026829) + pow(x6, x5))))))) / 0.3559735)
21|0.056803484|(tanh(log_abs(square(log10_abs((x6 * -0.12026829) + erf(x32 + ((x6 * -0.10116566) + log_abs(pow(x6, x5)))))))) / 0.3559735)
22|0.05680266|(tanh(log_abs(square(log10_abs((x6 * -0.12026829) + erf(cube(x32 + ((x6 * -0.10116566) + log_abs(pow(x6, x5))))))))) / 0.3559735)
23|0.056714263|(tanh(log_abs(square(log10_abs((x6 * -0.12026829) + erf(x32 + (((x6 + 1.7110676) * -0.10116566) + log_abs(pow(x6, x5)))))))) / 0.3559735)
24|0.05650426|(tanh(log_abs(square(log10_abs(((x6 * -0.12026829) + x19) + erf(cube(x32 + ((x6 * -0.10116566) + log_abs(pow(x6, x5))))))))) / 0.3559735)
