Complexity|MSE|Equation
1|0.93323797|-1.1406348
3|0.264894|(x16 + -11.27121)
5|0.043442003|((-215.6253 / x16) + 20.188255)
7|0.041097846|(((x10 + -216.00911) / x16) + 20.17771)
8|0.040606216|(((square(x10) + -215.7435) / x16) + 20.165121)
9|0.040515825|((((x10 + x26) - 217.0642) / x16) + 20.215067)
10|0.040082093|((((square(x10) + x26) + -216.65178) / x16) + 20.188519)
11|0.039876845|((((square(x10) + cube(x26)) + -216.65178) / x16) + 20.221113)
12|0.039237887|((((x10 + (log10_abs(x6) * 40.803802)) + -153.3252) / x16) + 6.7949657)
13|0.03889725|((((square(x10) + (log10_abs(x6) * 40.803802)) + -153.3252) / x16) + 6.7949657)
16|0.03889147|((((square(x10 + -0.029853316) + abs(log10_abs(x6) * 40.803802)) + -153.3252) / x16) + 6.7949657)
17|0.038891464|((((square(x10 + tanh(-0.029853316)) + abs(log10_abs(x6) * 40.803802)) + -153.3252) / x16) + 6.7949657)
