Complexity|MSE|Equation
1|1.8975847|-0.25697157
2|1.5799055|log10_abs(x0)
3|0.43829975|(x14 - 11.216193)
4|0.41237417|log_abs(10.054552 - x31)
5|0.15893644|log_abs(square(x6 * 0.009987962))
6|0.12167859|(log_abs(x6 * 0.010177107) / 0.42749038)
7|0.07789976|(erf(log_abs(x6 * -0.010587254)) / 0.3906763)
8|0.07168702|(erf(log_abs(log_abs(x6 * 0.031556454))) / 0.4031802)
9|0.057272818|((erf(log_abs(x6 * 0.013339328)) / 0.37043718) - x30)
10|0.05692582|((erf(log_abs(x6 * 0.013398713)) / 0.37043858) - erf(x30))
11|0.056830943|((erf(log_abs((x6 + x10) * 0.013285721)) / 0.3703467) - x30)
12|0.056643803|((erf(log_abs(x6 * -0.013535282)) / 0.37147322) - erf(x30 + x19))
14|0.056485884|((erf(log_abs((x6 - greater(0.59899765, x10)) * 0.013568099)) / 0.3714907) - erf(x30))
15|0.056413878|((erf(log_abs((x6 - abs(greater(0.7155732, x10))) * 0.013568099)) / 0.3714907) - erf(x30))
16|0.05619009|((erf(log_abs((((x6 - 0.00080966507) * -0.41197917) - x10) * -0.031916462)) / 0.36796322) - erf(x30))
