Complexity|MSE|Equation
1|1.8923912|-0.25813216
2|1.574737|log10_abs(x0)
3|0.43668383|(x12 + -11.279911)
4|0.40981174|log_abs(x31 - 10.043086)
5|0.12239815|((x16 + -10.752168) / 0.56772107)
6|0.07654885|(erf(x16 + -10.683543) / 0.4662432)
8|0.06264873|((tanh(x16 + -10.471313) / 0.40993494) - 0.39310873)
10|0.060975887|(((tanh(x16 + -10.476101) / 0.41041213) - x19) - 0.34456608)
11|0.06061458|((tanh(x16 + -10.472493) / 0.40972707) - (tanh(x3) * 0.40142357))
12|0.06006043|((tanh(x16 + -10.472493) / 0.40972707) - (cube(tanh(x3)) * 0.40972707))
13|0.060012545|((tanh(x16 + -10.472493) / 0.40972707) - (tanh(x3 - 0.41014573) * 0.40142357))
14|0.05991675|((tanh(x16 + -10.469297) / 0.4061315) - (abs(cube(tanh(relu(x3)))) * 0.412782))
15|0.05982772|((tanh((x16 + -10.516682) - (neg(x10 * -0.108329475) * -0.83021855)) / 0.40914083) - 0.38853148)
16|0.05982731|((tanh((x16 + -10.516682) - (neg(x10 * tanh(-0.108329475)) * -0.83021855)) / 0.40914083) - 0.38853148)
17|0.059748415|(erf(erf(log_abs(log_abs(((x6 + x16) / x31) + (x26 / x34)) - 1.2608458))) / 0.31936595)
18|0.059349526|(erf(erf(log_abs(log_abs(((x6 + x16) / x31) + erf(x26 / x34)) - 1.2608458))) / 0.31936595)
19|0.059290756|(erf(erf(log_abs(log_abs(((x6 + x16) / x31) + ((x26 - x19) / x34)) - 1.2608458))) / 0.31936595)
20|0.05885907|(erf(erf(log_abs(log_abs((((x6 + x10) + x13) / x31) + tanh(x26 / x34)) - 1.2608458))) / 0.31936595)
21|0.05859048|(erf(erf(log_abs(log_abs((((x6 + cube(x10)) + x13) / x31) + tanh(x26 / x34)) - 1.2608458))) / 0.31936595)
23|0.05853114|(erf(erf(log_abs(log_abs((((x6 + cube(x10)) + (x13 - x19)) / x31) + tanh(x26 / x34)) - 1.2608458))) / 0.31936595)
24|0.05847436|(erf(erf(log_abs(log_abs((((x6 + cube(x10)) + (x13 - (x19 * x15))) / x31) + (x26 / x34)) - 1.2608458))) / 0.31936595)
25|0.05816441|(erf(erf(log_abs(log_abs((((x6 + cube(x10)) + (x13 - (x19 * x15))) / x31) + (erf(x26) / x34)) - 1.2608458))) / 0.31936595)
