Complexity|MSE|Equation
1|1.8972195|-0.2606493
2|1.5790435|log10_abs(x0)
3|0.42435238|(x32 - 10.967154)
5|0.15967064|log_abs(square(x6 * 0.009986089))
6|0.12261049|(log_abs(x6 * 0.010174279) / 0.42768732)
7|0.07873645|(erf(log_abs(x6 * 0.010585189)) / 0.3909315)
8|0.073237754|(erf(log_abs(log_abs(x6 * -0.031705793))) * 2.498582)
9|0.05845432|((erf(log_abs(x6 * -0.013411484)) * 2.6734488) - x30)
10|0.057946824|((erf(log_abs(x6 * 0.013438942)) * 2.7022226) - erf(x30))
11|0.056997214|(((erf(log_abs(x6 * -0.011166774)) / x32) / 0.035630178) - x19)
13|0.056657266|(((erf(log_abs((x6 - x5) * 0.011227244)) / x32) / 0.035765983) - x19)
14|0.056393854|(((erf(log_abs((x6 + log10_abs(x10)) * -0.011230279)) / x32) / 0.035777118) - x19)
15|0.056152586|(((erf(log_abs((x6 + sign(log10_abs(x10))) * -0.011230279)) / x32) / 0.035776574) - x19)
16|0.055999387|(((erf(log_abs(((x6 - 0.8427008) + cube(x10)) * -0.011230279)) / x32) / 0.035776574) - x19)
19|0.055960104|(((erf(log_abs(((x6 - 0.8427008) + square(x10)) * -0.011230279)) / x32) / 0.035776574) - erf(abs(neg(x19))))
21|0.05595752|(((erf(log_abs(((x6 - square(0.8427008)) + abs(square(x10))) * -0.011230279)) / x32) / 0.035776574) - erf(abs(neg(x19))))
22|0.055874374|(((erf(log_abs(((x6 - abs(sign(neg(x9 + 1.0)))) + (x10 / 0.41059822)) * -0.011138179)) / x32) / 0.035481334) - x19)
24|0.055849947|(((erf(log_abs(((x6 - sign(relu(log_abs(log_abs(erf(neg(x10))))))) + (x10 - x5)) * -0.011230279)) / x32) / abs(0.035776574)) - x19)
25|0.05556931|(((erf(log_abs(((x6 - sign(relu(log_abs(log_abs(cube(erf(neg(x10)))))))) + (x10 - x5)) * -0.011230279)) / x32) / abs(0.035776574)) - x19)
