Complexity|MSE|Equation
1|0.93244714|-1.136995
3|0.26392055|(x16 - 11.268303)
5|0.047223534|((x16 * 1.9792801) - 21.189692)
6|0.042859245|((log_abs(x16) * 20.743153) - 49.14859)
7|0.040044323|((log10_abs(log_abs(x6)) * 26.345613) - 17.300003)
8|0.03809344|(cube(pow(x6, 0.17051789) - 3.6797729) - -3.4887564)
10|0.037599914|(cube(pow(x10 + x6, 0.16476144) - 3.6892507) - -3.9455416)
11|0.03705146|(cube(pow(neg(x6) + -11.1142, 0.19792768) - 3.899579) - -2.7434037)
12|0.03690284|(cube(pow(x10 + (x6 + x32), 0.17434448) - 3.8252277) - -3.9479108)
13|0.03620872|(cube(pow((abs(x16) * 2.1510885) + x6, 0.20383139) - 4.034562) - -2.7810438)
14|0.03619103|(cube(pow((greater(1.169023, x34) + x10) + x6, 0.16425322) - 3.6892216) - -3.9596565)
15|0.03596795|(cube(pow((greater(1.169023, x34) + square(x10)) + x6, 0.16425322) - 3.6892216) - -3.9596565)
16|0.03569783|(cube(pow((greater(x26 + 0.51647145, x34) + x10) + x6, 0.16428915) - 3.689306) - -3.945536)
17|0.0356762|(cube(pow((greater(x21 + 0.51647145, x34) + cube(x10)) + x6, 0.16428915) - 3.689306) - -3.945536)
18|0.035638984|(cube(pow((greater(x26 + 0.51647145, x34) + square(square(x10))) + x6, 0.16428915) - 3.689306) - -3.945536)
19|0.03534218|(cube(pow((pow(greater(x26 + 0.51647145, x34), x25) + cube(x10)) + x6, 0.16428915) - 3.689306) - -3.9596565)
21|0.034869645|(cube(pow((pow(greater(x26 + 0.51647145, x34) / -0.50094765, x25) + cube(x10)) + x6, 0.16428915) - 3.689306) - -3.945536)
