Complexity|MSE|Equation
1|1.8859752|-0.25591516
2|1.5689362|log10_abs(x0)
3|0.42182836|(x32 + -10.966345)
5|0.12075803|((x16 + -10.752837) / 0.56761646)
6|0.07510886|(erf(x16 + -10.684221) / 0.46599868)
8|0.06303074|((erf(x16 + -10.510119) / 0.45616323) - 0.31692895)
9|0.061039805|(tanh(log_abs(cube(log10_abs(x6) + -0.95727956))) * 2.3960848)
10|0.06032469|(tanh(log10_abs(square(cube(log10_abs(x6) + -0.95805025)))) * 2.621647)
11|0.05825439|((tanh(log_abs(cube(log10_abs(x6) + -0.9500564))) * 2.4035459) - x19)
12|0.057973683|((tanh(log10_abs(square(cube(log10_abs(x6) + -0.95075345)))) * 2.621647) - x19)
13|0.057401758|((tanh(log_abs(cube(log10_abs(x6) + -0.9426591))) * 2.4194505) + (x5 * -0.22084601))
14|0.05729618|((tanh(log_abs(cube(log10_abs(x6) + -0.9426591))) * 2.4194505) + (erf(x5) * -0.22084601))
15|0.05698541|((tanh(log_abs(cube(log10_abs(x6 + x10) + -0.9426591))) * 2.4194505) + (x5 * -0.22084601))
16|0.056833882|((tanh(log_abs(cube(log10_abs(x6 + x10) + -0.9426591))) * 2.4194505) + (erf(x5) * -0.22084601))
17|0.056382522|((tanh(log_abs(cube(log10_abs(x6 + cube(x10)) + -0.9426591))) * 2.4194505) + (erf(x5) * -0.22084601))
18|0.056346793|((tanh(log_abs(cube(log10_abs(x6 + cube(x10)) + -0.9426591))) * 2.4194505) + (erf(erf(x5)) * -0.22084601))
19|0.05632835|((tanh(log_abs(cube(log10_abs((x6 + -0.37243262) + cube(x10)) + -0.9426591))) * 2.4194505) + (erf(x5) * -0.22084601))
