Complexity|MSE|Equation
1|0.9793396|-1.1121083
3|0.28602636|(x31 + -11.845669)
5|0.095087245|((x13 + x31) + -22.2035)
6|0.04759184|((log10_abs(x6) * 6.0158215) + -11.905848)
7|0.04126974|((log10_abs(log_abs(x6)) * 26.30619) + -17.276554)
9|0.040583473|(log_abs(log10_abs((x6 - -12.779812) * 0.094814874)) / 0.151084)
10|0.035479814|(log10_abs(x6 * -0.010917815) * (6.9050627 - (x2 * 0.007815806)))
12|0.035303004|(log10_abs(x6 * 0.010932817) * (6.905061 - ((x2 * 0.007816612) - x19)))
14|0.0349127|(log10_abs((x6 + x10) * 0.010863857) * (6.791018 - ((x2 - x15) * 0.007192708)))
16|0.034827232|(log10_abs((x6 + (x10 - 0.5924753)) * 0.010863857) * (6.791018 - ((x2 - x28) * 0.007192708)))
18|0.034721002|(log10_abs(x6 * -0.010899852) * (6.7910295 - pow((((0.0071837325 + x2) / -0.836247) * 0.0071837325) + x25, x34)))
19|0.034609582|(log10_abs(x6 * -0.010899852) * (6.7910295 - pow((((log10_abs(x6) + x2) / -0.836247) * 0.0071837325) + x25, x34)))
20|0.034107186|(log10_abs(x6 * -0.010899852) * (6.7910295 - pow((((-0.10980898 + x2) / (-0.836247 + x19)) * 0.0071837325) + x25, x34)))
21|0.034081448|(log10_abs(x6 * -0.010899852) * (6.7910295 - pow((((exp(0.08179633) + x2) / (-0.836247 + x19)) * 0.0071837325) + x25, x34)))
22|0.033937003|(log10_abs(x6 * -0.010899852) * (6.7910295 - pow((((0.0071837325 + ((x2 - 0.046479024) + x11)) / -0.836247) * 0.0071837325) + x25, x34)))
23|0.033933952|(log10_abs(x6 * -0.010899852) * (6.7910295 - pow((((exp(-0.73107404) + ((x2 - 0.046479024) + x11)) / -0.836247) * 0.0071837325) + x25, x34)))
