Complexity|MSE|Equation
1|0.9661462|-1.1124084
3|0.2758468|(x31 - 11.754452)
5|0.09266124|((x14 * 1.8691438) - 20.680988)
6|0.04763052|((log10_abs(x16) * 47.426617) - 48.809135)
7|0.044779576|((log_abs(log10_abs(x6)) * 11.379546) - 7.720845)
9|0.04405102|((log_abs(log_abs(x6 + x10)) * 11.463709) - 17.354197)
10|0.043964997|((log_abs(log_abs(x6 * log10_abs(x13))) * 10.916158) - 16.612106)
11|0.04359749|((log_abs(log_abs(log_abs(x6) + log_abs(x14))) * 29.893888) - 19.752348)
12|0.037587058|log10_abs(pow(exp((log_abs(x6) / -0.08033398) + 56.348427) + 0.00032289542, -0.5130276))
14|0.03720756|log10_abs(pow(exp((log_abs(x6 + x10) / -0.08011668) + 56.348408) + 0.00035094528, -0.53145355))
15|0.03663035|log10_abs(pow(exp((log_abs(x6 + exp(x10)) / -0.080441654) + 56.348427) - -0.00048453503, -0.531683))
16|0.036348995|log10_abs(pow(exp((log_abs(x6 + (x26 + x10)) / -0.080441654) + 56.348427) + 0.0004155131, -0.531683))
17|0.035408564|log10_abs(pow((exp((log_abs(x6 + exp(x10)) / -0.08033398) + 56.348427) * x34) + 0.00039934943, -0.531683))
