targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,1.0,0.003,constant,1.0,0.95,244545.0,244545.0,0.19286154210567474,0.13380463421344757,61.0,0.25120091438293457,0.24251970648765564
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,1.0,0.001,constant,1.0,0.95,352577.0,352577.0,0.19386497139930725,0.14391636848449707,65.0,0.18804402649402618,0.20952355861663818
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,248833.0,248833.0,0.10218759626150131,0.10032583028078079,173.0,0.10149962455034256,0.10163452476263046
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,253121.0,253121.0,0.9294373989105225,0.9294465780258179,23.0,0.9294580221176147,0.9294582009315491
[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,relu,leakyrelu,2.0,0.001,warmup_expcos,1.3,0.98,356865.0,356865.0,0.10417308658361435,0.10400770604610443,275.0,0.10679663717746735,0.10702774673700333
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,relu,leakyrelu,1.0,0.003,warmup_exp,1.3,0.98,352577.0,352577.0,0.12488154321908951,0.11581336706876755,99.0,0.12376011908054352,0.1248844712972641
[0],500.0,512.0,1e-05,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.9294378161430359,0.929456353187561,25.0,0.9294592142105103,0.9294592142105103
[0],500.0,512.0,0.0,1e-05,L2,64.0,2.0,relu,relu,3.0,0.003,constant,1.0,0.95,253121.0,253121.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],250.0,512.0,0.0,0.0,L2,64.0,3.0,relu,relu,3.0,0.001,constant,1.0,0.95,361153.0,361153.0,0.9294378161430359,0.9294592142105103,23.0,0.9294592142105103,0.9294592142105103
[0],250.0,512.0,0.0,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,248833.0,248833.0,0.09855880588293076,0.09823695570230484,121.0,0.10166230797767639,0.10032989829778671
[0],500.0,512.0,1e-05,1e-05,L2,64.0,2.0,leakyrelu,leakyrelu,1.0,0.001,warmup_expcos,1.3,0.98,244545.0,244545.0,0.17979185283184052,0.1502486616373062,107.0,0.15674734115600586,0.1797959804534912
[0],500.0,512.0,1e-05,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,464897.0,464897.0,0.14516235888004303,0.10719475895166397,109.0,0.11271438002586365,0.11312369257211685
[0],250.0,512.0,0.0,1e-05,L2,64.0,3.0,relu,leakyrelu,3.0,0.003,warmup_expcos,1.3,0.98,361153.0,361153.0,0.1026194840669632,0.10207143425941467,175.0,0.1158737987279892,0.1044660285115242
[0],500.0,512.0,0.0,0.0,L2,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.0,0.95,469185.0,469185.0,0.11652128398418427,0.10402031242847443,85.0,0.11373776942491531,0.11579455435276031
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,352577.0,352577.0,0.12271124124526978,0.11933618783950806,95.0,0.14516320824623108,0.13062669336795807
[0],500.0,512.0,1e-05,0.0,L2,64.0,2.0,leakyrelu,leakyrelu,3.0,0.001,constant,1.0,0.95,253121.0,253121.0,0.2158190906047821,0.10313477367162704,83.0,0.11400428414344788,0.11335209012031555
[0],500.0,512.0,0.0,0.0,L2,64.0,3.0,relu,leakyrelu,1.0,0.003,warmup_expcos,1.3,0.98,352577.0,352577.0,0.11172747611999512,0.10835839062929153,139.0,0.11341048777103424,0.11173004657030106
