case,targets,n_epochs,batch_size,l1_lambda,l2_lambda,loss_func,hidden_channels,conv_layers,conv_activation,decode_activation,decode_layers,learning_rate,schedule,g_up,g_down,N_params,N_trainable,scatter,lowest,epoch_exit,last20,last10
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.003,warmup_exp,1.3,0.98,345346.0,345346.0,0.9294368624687195,0.9294235706329346,27.0,0.9294522404670715,0.9294578433036804
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,336770.0,336770.0,0.10098480433225632,0.09957901388406754,261.0,0.10118656605482101,0.10098712891340256
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,L2,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,warmup_exp,1.3,0.98,257409.0,257409.0,0.10773656517267227,0.1077280044555664,303.0,0.1077667623758316,0.10774554312229156
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,1.0,0.003,constant,1.3,0.98,253314.0,253314.0,0.8438796401023865,0.7331556677818298,57.0,0.7840700149536133,0.7944270968437195
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,187010.0,187010.0,0.1219814196228981,0.12011759728193283,113.0,0.12504321336746216,0.12272698432207108
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,constant,1.3,0.98,261890.0,261890.0,0.11384838819503784,0.10671159625053406,139.0,0.1168966293334961,0.11649955809116364
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,3.0,0.003,constant,1.3,0.98,270466.0,270466.0,0.15829500555992126,0.09962470084428787,171.0,0.17533574998378754,0.16428391635417938
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,261890.0,261890.0,0.9293724894523621,0.9293379783630371,25.0,0.9293895959854126,0.9293808937072754
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,1.0,0.001,warmup_exp,1.3,0.98,328194.0,328194.0,0.7229594588279724,0.7202655076980591,65.0,0.7405716180801392,0.7409406304359436
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,2.0,leakyrelu,leakyrelu,2.0,0.003,warmup_exp,1.3,0.98,187010.0,187010.0,0.4312966465950012,0.4016573131084442,81.0,0.44202202558517456,0.43135038018226624
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,3.0,leakyrelu,leakyrelu,2.0,0.001,constant,1.3,0.98,261890.0,261890.0,0.9294465184211731,0.929226815700531,23.0,0.9294472932815552,0.9294691681861877
vlarge_all_4t_z0.0_quantile_raw,[0],500.0,512.0,1e-05,1e-05,Gauss1d,64.0,4.0,leakyrelu,leakyrelu,3.0,0.001,warmup_exp,1.3,0.98,345346.0,345346.0,0.10566104203462601,0.1038440465927124,179.0,0.10463693737983704,0.10459242016077042
